company_name,brand,product_name,model_name,series_name,is_own_product,launch_date,launch_market,price_band,current_price,ram,storage,battery_capacity,charging_wattage,chipset,display_size,display_type,refresh_rate,screen_to_body_ratio,rear_camera,front_camera,android_version,custom_ui,network_5g,weight,thickness,official_url,marketplace_url,source_name,source_confidence
Transsion Holdings,Infinix,Infinix Note 60 Pro,Note 60 Pro,Note,true,2026-04-13,India,Mid-range,Source pending,8 GB,128 GB,Source pending,Source pending,Source pending,6.78 inch,AMOLED,144Hz,Source pending,Source pending,Source pending,Android 16,XOS 16,Yes,Source pending,Source pending,Source pending,https://www.flipkart.com/infinix-note-60-pro/p/itm7681d00923b3c,recent_catalog_seed,verified_web
Transsion Holdings,itel,itel Zeno 200,Zeno 200,Zeno,true,2026-05-08,India,Entry,10399,4 GB,128 GB,5000 mAh,15W,Unisoc T7250,6.75 inch,LCD,120Hz,Source pending,13MP,5MP,Android 15 Go,itel OS,No,Source pending,Source pending,Source pending,Source pending,recent_catalog_seed,verified_web
Transsion Holdings,TECNO,TECNO POVA Curve 2 5G,POVA Curve 2 5G,POVA,true,2026-02-27,India,Mid-range,Source pending,Source pending,Source pending,Source pending,Source pending,Source pending,Source pending,Source pending,Source pending,Source pending,Source pending,Source pending,Android,HiOS,Yes,Source pending,Source pending,Source pending,Source pending,recent_catalog_seed,verified_web
Realme,Realme,Realme Narzo 90x 5G,Narzo 90x 5G,Narzo,false,2025-12-16,India,Mid-range,Source pending,8 GB,128 GB,7000 mAh,60W,Source pending,Source pending,AMOLED,144Hz,Source pending,50MP,Source pending,Android,realme UI,Yes,Source pending,Source pending,https://www.realme.com/in/realme-narzo-90x,https://www.flipkart.com/realme-narzo-90x-5g-flash-blue-128-gb/p/itma63c5c5ce781a,recent_competitor_seed,verified_web
iQOO,iQOO,iQOO Z11x 5G,Z11x 5G,Z Series,false,2026-03-13,India,Mid-range,Source pending,6 GB,128 GB,7200 mAh,44W,Dimensity 7400 Turbo,Source pending,Source pending,Source pending,Source pending,50MP,Source pending,Android,OriginOS/Funtouch,Yes,Source pending,Source pending,Source pending,https://www.flipkart.com/iqoo-z11x-5g-titan-black-128-gb/p/itm8278ba39f21e3,recent_competitor_seed,verified_web
