review_id,product_id,product_name,brand,marketplace,source_url,raw_text,rating,review_date,review_title,reviewer_name,scraped_at
flipkart_32ba74089b75f4fe5956,iqoo_z_11x_5g,iQOO Z11x 5G,iQOO,flipkart,https://www.flipkart.com/iqoo-z11x-5g-prismatic-green-128-gb/product-reviews/itm8278ba39f21e3?pid=MOBHHHHGXWGFFYPM,Very bad camera for the 18 19 k price point. It's similar to 7 8 thousand rupee phone. No option to record in 60fps,2.0,,Bad quality,,2026-05-10T09:49:55+00:00
flipkart_fdb5ee0e2e2ef5975967,iqoo_z_11x_5g,iQOO Z11x 5G,iQOO,flipkart,https://www.flipkart.com/iqoo-z11x-5g-prismatic-green-128-gb/product-reviews/itm8278ba39f21e3?pid=MOBHHHHGXWGFFYPM,Helpful for 5,5,,Helpful for 5,,2026-05-10T09:49:55+00:00
flipkart_a206f8c05e12ea9ce682,iqoo_z_11x_5g,iQOO Z11x 5G,iQOO,flipkart,https://www.flipkart.com/iqoo-z11x-5g-prismatic-green-128-gb/product-reviews/itm8278ba39f21e3?pid=MOBHHHHGXWGFFYPM&page=2,Good phone battery is heavy 2 Day battery backup,5.0,,Good phone battery is heavy 2 Day battery backup,,2026-05-10T09:50:02+00:00
flipkart_8ebde28d9e9d431fc50a,iqoo_z_11x_5g,iQOO Z11x 5G,iQOO,flipkart,https://www.flipkart.com/iqoo-z11x-5g-prismatic-green-128-gb/product-reviews/itm8278ba39f21e3?pid=MOBHHHHGXWGFFYPM&page=2,Good phone battery is heavy 2 Day battery backup,2,,Good phone battery is heavy 2 Day battery backup,,2026-05-10T09:50:02+00:00
flipkart_15cd6f31ff7d4e96e2a7,iqoo_z_11x_5g,iQOO Z11x 5G,iQOO,flipkart,https://www.flipkart.com/iqoo-z11x-5g-prismatic-green-128-gb/product-reviews/itm8278ba39f21e3?pid=MOBHHHHGXWGFFYPM&page=2,Helpful for 1,1,,Helpful for 1,,2026-05-10T09:50:02+00:00
flipkart_abf9e69110d3cfcd2e41,iqoo_z_11x_5g,iQOO Z11x 5G,iQOO,flipkart,https://www.flipkart.com/iqoo-z11x-5g-prismatic-green-128-gb/product-reviews/itm8278ba39f21e3?pid=MOBHHHHGXWGFFYPM&page=2,Helpful for 1,5.0,,Helpful for 1,,2026-05-10T09:50:02+00:00
flipkart_b0ce10b87c019b964af6,iqoo_z_11x_5g,iQOO Z11x 5G,iQOO,flipkart,https://www.flipkart.com/iqoo-z11x-5g-prismatic-green-128-gb/product-reviews/itm8278ba39f21e3?pid=MOBHHHHGXWGFFYPM&page=2,Good product 👍,5.0,,Good product 👍,,2026-05-10T09:50:02+00:00
flipkart_66791b549fb058d28237,iqoo_z_11x_5g,iQOO Z11x 5G,iQOO,flipkart,https://www.flipkart.com/iqoo-z11x-5g-prismatic-green-128-gb/product-reviews/itm8278ba39f21e3?pid=MOBHHHHGXWGFFYPM&page=2,Review for: Color Titan Black • RAM 6 GB • Storage 128 GB,1.0,,Helpful,,2026-05-10T09:50:02+00:00
flipkart_4bf873d463ccc7565a3f,iqoo_z_11x_5g,iQOO Z11x 5G,iQOO,flipkart,https://www.flipkart.com/iqoo-z11x-5g-prismatic-green-128-gb/product-reviews/itm8278ba39f21e3?pid=MOBHHHHGXWGFFYPM&page=2,Flipkart Customer,1,,Helpful,,2026-05-10T09:50:02+00:00
flipkart_09f86b1c77c67ada082a,iqoo_z_11x_5g,iQOO Z11x 5G,iQOO,flipkart,https://www.flipkart.com/iqoo-z11x-5g-prismatic-green-128-gb/product-reviews/itm8278ba39f21e3?pid=MOBHHHHGXWGFFYPM&page=2,Review for: Color Prismatic Green • RAM 6 GB • Storage 128 GB,4.0,,Helpful,,2026-05-10T09:50:02+00:00
