review_id,product_id,product_name,brand,marketplace,source_url,raw_text,rating,review_date,review_title,reviewer_name,scraped_at
flipkart_2849aa8089fe19333062,itel_a95_5g,itel A95 5G,itel,flipkart,https://www.flipkart.com/itel-a95-5g-clax-titanium-128-gb/product-reviews/itmd721960b9a96e?pid=MOBHC3YGFMSVMM9B,Helpful for 9,2.0,,Could be way better,,2026-05-09T22:28:19+00:00
flipkart_c7eb7b89211b7202c1bf,itel_a95_5g,itel A95 5G,itel,flipkart,https://www.flipkart.com/itel-a95-5g-clax-titanium-128-gb/product-reviews/itmd721960b9a96e?pid=MOBHC3YGFMSVMM9B,Helpful for 9,3,,R A T A N KAR,,2026-05-09T22:28:19+00:00
flipkart_5b429e126e7412d49813,itel_a95_5g,itel A95 5G,itel,flipkart,https://www.flipkart.com/itel-a95-5g-clax-titanium-128-gb/product-reviews/itmd721960b9a96e?pid=MOBHC3YGFMSVMM9B,Verified Purchase,3,,· 3 months ago,,2026-05-09T22:28:19+00:00
