review_id,product_id,product_name,brand,marketplace,source_url,raw_text,rating,review_date,review_title,reviewer_name,scraped_at
flipkart_a3de4bd64fdcb38cc3bf,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC&page=2,Helpful for 5,4.0,,Let me use it for few months then I will give its review. 🙏,,2026-05-09T22:20:04+00:00
flipkart_c61ca8677f53498b2f12,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC&page=2,Helpful for 5,5,,Helpful for 5,,2026-05-09T22:20:04+00:00
flipkart_324c807ef3dad6bbd99e,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC&page=2,"Impressive Display and Performance: The device features a commendable display, and the 8GB RAM coupled with t...",5.0,,Helpful for 11,,2026-05-09T22:20:04+00:00
flipkart_55940ac3759cd203a4c5,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC&page=2,Helpful for 11,2,,Helpful for 11,,2026-05-09T22:20:04+00:00
flipkart_8516c3b303fe4970cbd9,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC&page=2,Battery dept biggest battery I have ever used like this mobile,5.0,,Excellent performance camera is awesome,,2026-05-09T22:20:04+00:00
flipkart_2332ed1277a433c7be85,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC&page=2,Helpful for 8,1,,Helpful for 8,,2026-05-09T22:20:04+00:00
flipkart_81a971839fd073348a3d,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC&page=2,Ai features is amazing looks of launchr like iPhone,5.0,,Best in the market!,,2026-05-09T22:20:04+00:00
flipkart_ffe5ae26b22180404321,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC&page=2,Helpful for 11,3,,Helpful for 11,,2026-05-09T22:20:04+00:00
flipkart_bbd96b7dcc42b769c013,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC&page=2,All Round value for money but display is average,5.0,,Performance 09.5/10,,2026-05-09T22:20:04+00:00
flipkart_078f04d42bba3d51ebfc,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC&page=2,All Round value for money but display is average,5,,Performance 09.5/10,,2026-05-09T22:20:04+00:00
