review_id,product_id,product_name,brand,marketplace,source_url,raw_text,rating,review_date,review_title,reviewer_name,scraped_at,text_hash,review_fingerprint,cleaning_status
flipkart_a252ef32bcbfce512554,samsung_galaxy_a07_5g,Samsung Galaxy A07 5G,Samsung,flipkart,https://www.flipkart.com/samsung-galaxy-a07-5g-light-violet-128-gb/product-reviews/itm375542879d8d6?pid=MOBHJXB2YNDNYWWQ,The phone is lagging.,1,,The phone is lagging.,,2026-05-15T07:23:55+00:00,0d0da64fcef8f028da18160f9a91d75566672f06b12c8e98f422e228be46f6ac,b4c9b80d7814c552d13a092d64209e754866e2ec458d6dfec17694509eac3d29,clean
flipkart_cf9c0413391e451849ca,samsung_galaxy_a07_5g,Samsung Galaxy A07 5G,Samsung,flipkart,https://www.flipkart.com/samsung-galaxy-a07-5g-light-violet-128-gb/product-reviews/itm375542879d8d6?pid=MOBHJXB2YNDNYWWQ,"Motion sensors not good, display clarity poor",2,,Could be way better,,2026-05-15T07:23:55+00:00,7f2677c82de9370e182e775b1e3e9706044ffc86bb4a8bb68e2ee787a6cfdf85,ed95f028e3125b85564186e852e94bac84bb75aa91197537712930cb1ef24f9a,clean
