review_id,product_id,product_name,brand,marketplace,source_url,raw_text,rating,review_date,review_title,reviewer_name,scraped_at,text_hash,review_fingerprint,cleaning_status
flipkart_e64248a8811f1dda7c1a,infinix_note_60_pro,Infinix Note 60 Pro,Infinix,flipkart,https://www.flipkart.com/infinix-note-60-pro-solar-orange-128-gb/product-reviews/itm7681d00923b3c?pid=MOBHHVE2RRGGD6H5&page=2,Everything is okay.But mobile speak is low volume. Speak rating 3 star,4,,Everything is okay.But mobile speak is low volume. Speak rating 3 star,,2026-05-10T06:21:56+00:00,55229cb1b0e0f633a188971fa5e7feddf2a17afe213aa1063c3eb4471f6a49b4,e6a5b13596e821bec40a98a8f409a95e2b1de34ab025a6d3641511c03fb54206,clean
flipkart_71e6f811d63de1491720,infinix_note_60_pro,Infinix Note 60 Pro,Infinix,flipkart,https://www.flipkart.com/infinix-note-60-pro-solar-orange-128-gb/product-reviews/itm7681d00923b3c?pid=MOBHHVE2RRGGD6H5,Overall a good phone.,4,,Overall a good phone.,,2026-05-10T06:21:49+00:00,5ca3930f3d9dd502ce8fbc0dd966e1c96d1c2ab446b8f000442d7302bf156eaa,1826816114b336cc3a943e5673d6d12618d429e439df0321ece27a896d2774a1,clean
flipkart_3cf9637e8e0df16577f4,infinix_note_60_pro,Infinix Note 60 Pro,Infinix,flipkart,https://www.flipkart.com/infinix-note-60-pro-solar-orange-128-gb/product-reviews/itm7681d00923b3c?pid=MOBHHVE2RRGGD6H5&page=3,Good quality product,4,,Good quality product,,2026-05-10T06:22:01+00:00,9f436c059d292f878d43f09604fe1f0b7462f7d32d667e23a10a0833b264dd41,48b0f94bbd6c575dafd1e2f10ef0d5e237ea51da34ffaaf7c831175e9e8a150e,clean
flipkart_0ef20b987e2ad731107d,infinix_note_60_pro,Infinix Note 60 Pro,Infinix,flipkart,https://www.flipkart.com/infinix-note-60-pro-solar-orange-128-gb/product-reviews/itm7681d00923b3c?pid=MOBHHVE2RRGGD6H5&page=2,Very Good,4,,Very Good,,2026-05-10T06:21:56+00:00,624d026dc13e1e189f9ea4ca66a065466d3f438dd94250ee8bc45ab57566374e,544095f63aeb2d763cfcbbb00186243a6420b0cb357b9d2f55f8fa76672fb807,clean
flipkart_cf01c57a5200bc423af6,infinix_note_60_pro,Infinix Note 60 Pro,Infinix,flipkart,https://www.flipkart.com/infinix-note-60-pro-solar-orange-128-gb/product-reviews/itm7681d00923b3c?pid=MOBHHVE2RRGGD6H5&page=2,Good 👍,4,,Good 👍,,2026-05-10T06:21:56+00:00,2b4a8f06506895762ffb26a8f31aea080b8b7e8b55612e5483644eef1fb3b738,fe37eabba64e9b1dbfa958fb30a096e7addf2f60dd44a32136c98b832ea6474a,clean
flipkart_db6ee0a9fd3d4a9da4b0,infinix_note_60_pro,Infinix Note 60 Pro,Infinix,flipkart,https://www.flipkart.com/infinix-note-60-pro-solar-orange-128-gb/product-reviews/itm7681d00923b3c?pid=MOBHHVE2RRGGD6H5&page=6,Good choice,4,,Good choice,,2026-05-10T06:22:18+00:00,1c4c557c4a45b81f58831406e40cb434ce454594ad48db9f10a519a7ca79e1c0,ee8153901052af6c2fbd15ea76f7ae02d0448087503b02fb979b61d6b73a2514,clean
flipkart_ae3cdd919ba88a619e8c,infinix_note_60_pro,Infinix Note 60 Pro,Infinix,flipkart,https://www.flipkart.com/infinix-note-60-pro-solar-orange-128-gb/product-reviews/itm7681d00923b3c?pid=MOBHHVE2RRGGD6H5&page=2,"So far so good, build quality is top notch. It is fun to use this handset. Battery backup and software is very good. Display quality is awesome. Only missing is camera quality. Quality is not bad but ...",5,,,,2026-05-10T06:21:56+00:00,60cd2d834bb3368f8ced16a12fc88908333c4875af7fe6e6d499b89bc5e9042a,3feeb04dbbb5b33db68f8676e39979875ecb9e2be9f086979afad6843947929d,clean
flipkart_9715d75cf9ba9c64d697,infinix_note_60_pro,Infinix Note 60 Pro,Infinix,flipkart,https://www.flipkart.com/infinix-note-60-pro-solar-orange-128-gb/product-reviews/itm7681d00923b3c?pid=MOBHHVE2RRGGD6H5&page=4,Good in performance good in design good in speaker good in display good in processor all good Super Super phone In this range,5,,Excellent,,2026-05-10T06:22:07+00:00,9b7c6aabfccc2f533974148ccf744a8ce3797e63d91a51553e64911e6a7d8f17,48167b16d26ed76f20e940ab003d88920d18520d6ca91a69a2d9f8c6c5aadacb,clean
flipkart_0c65905b9c558d5230c8,infinix_note_60_pro,Infinix Note 60 Pro,Infinix,flipkart,https://www.flipkart.com/infinix-note-60-pro-solar-orange-128-gb/product-reviews/itm7681d00923b3c?pid=MOBHHVE2RRGGD6H5&page=4,Some of the phones of new generation. Great performance. Very easy to handle,5,,Excellent,,2026-05-10T06:22:07+00:00,7afa62482070bc05421fcf62593261ca19511c188c38c1c4f554b98c23d9a892,0210be2d1cc9ec931bf13ef0f6086a64de632c60b6a705b60ab70531cd3b11d7,clean
flipkart_43941a2c80ebc287081f,infinix_note_60_pro,Infinix Note 60 Pro,Infinix,flipkart,https://www.flipkart.com/infinix-note-60-pro-solar-orange-128-gb/product-reviews/itm7681d00923b3c?pid=MOBHHVE2RRGGD6H5,"Very good phone with good camera, build quality. Value for money.",5,,"Very good phone with good camera, build quality. Value for money.",,2026-05-10T06:21:49+00:00,2dd73979033887f4a9fedcaefe42082a2c4a6b1b234acddc3ad2831bd350d2da,9a2a8af3cf23f92f7daab813a4f7d0b1a0aa51368a51b567b1aef9a904ce2064,clean
