review_id,product_id,product_name,brand,marketplace,source_url,raw_text,rating,review_date,review_title,reviewer_name,scraped_at
flipkart_fe4650206c3368245756,realme_narzo_70x_5g,Realme Narzo 70x 5G,Realme,flipkart,https://www.flipkart.com/realme-narzo-70x-5g-ice-blue-128-gb/product-reviews/itm4ef66169ea11b?pid=MOBHYCWQUSWGF6FT,Very good mobile at reasonable cost.,5.0,,Very good mobile at reasonable cost.,,2026-05-09T22:43:27+00:00
flipkart_e9873c24536d639df373,realme_narzo_70x_5g,Realme Narzo 70x 5G,Realme,flipkart,https://www.flipkart.com/realme-narzo-70x-5g-ice-blue-128-gb/product-reviews/itm4ef66169ea11b?pid=MOBHYCWQUSWGF6FT,Helpful for 24,4,,Helpful for 24,,2026-05-09T22:43:27+00:00
flipkart_8bb586429b64f7ac8408,realme_narzo_70x_5g,Realme Narzo 70x 5G,Realme,flipkart,https://www.flipkart.com/realme-narzo-70x-5g-ice-blue-128-gb/product-reviews/itm4ef66169ea11b?pid=MOBHYCWQUSWGF6FT,And air gesture feature is also good camera quality is not bad as people or youtuber say battery backup is good atleast 9h ...,4.0,,Delivery of product was fast,,2026-05-09T22:43:27+00:00
flipkart_2d2f926f4470f5135ecc,realme_narzo_70x_5g,Realme Narzo 70x 5G,Realme,flipkart,https://www.flipkart.com/realme-narzo-70x-5g-ice-blue-128-gb/product-reviews/itm4ef66169ea11b?pid=MOBHYCWQUSWGF6FT,Helpful for 234,4.0,,Good choice,,2026-05-09T22:43:27+00:00
flipkart_c889a181144c1f2aa1f7,realme_narzo_70x_5g,Realme Narzo 70x 5G,Realme,flipkart,https://www.flipkart.com/realme-narzo-70x-5g-ice-blue-128-gb/product-reviews/itm4ef66169ea11b?pid=MOBHYCWQUSWGF6FT,worth buying. Superb camera quality. Battery backup seems to be nice. Best phone in this budget.,5.0,,Helpful for 77,,2026-05-09T22:43:27+00:00
flipkart_5e726a52cfcfb5134955,realme_narzo_70x_5g,Realme Narzo 70x 5G,Realme,flipkart,https://www.flipkart.com/realme-narzo-70x-5g-ice-blue-128-gb/product-reviews/itm4ef66169ea11b?pid=MOBHYCWQUSWGF6FT,I loved the phone camera wise and all other things. If you are thinking to buy I will definitely recommend it. Camera is good at this price ❤️❤️One more thing charge is so fast,5.0,,Helpful for 24,,2026-05-09T22:43:27+00:00
flipkart_2970c7c35c47d395982e,realme_narzo_70x_5g,Realme Narzo 70x 5G,Realme,flipkart,https://www.flipkart.com/realme-narzo-70x-5g-ice-blue-128-gb/product-reviews/itm4ef66169ea11b?pid=MOBHYCWQUSWGF6FT,Amazing phone in this price range.,5.0,,Amazing phone in this price range.,,2026-05-09T22:43:27+00:00
flipkart_aaef1ef46876ce5a06ab,realme_narzo_70x_5g,Realme Narzo 70x 5G,Realme,flipkart,https://www.flipkart.com/realme-narzo-70x-5g-ice-blue-128-gb/product-reviews/itm4ef66169ea11b?pid=MOBHYCWQUSWGF6FT,Helpful for 17,4,,", Ahmedabad",,2026-05-09T22:43:27+00:00
flipkart_e62c521b5770bca4b7a8,realme_narzo_70x_5g,Realme Narzo 70x 5G,Realme,flipkart,https://www.flipkart.com/realme-narzo-70x-5g-ice-blue-128-gb/product-reviews/itm4ef66169ea11b?pid=MOBHYCWQUSWGF6FT,Helpful for 5,5.0,,Best mobile,,2026-05-09T22:43:27+00:00
flipkart_7c78dffd3a502ad3a9d3,realme_narzo_70x_5g,Realme Narzo 70x 5G,Realme,flipkart,https://www.flipkart.com/realme-narzo-70x-5g-ice-blue-128-gb/product-reviews/itm4ef66169ea11b?pid=MOBHYCWQUSWGF6FT,Helpful for 5,5,,Helpful for 5,,2026-05-09T22:43:27+00:00
flipkart_4e35d1a7275fa680851e,realme_narzo_70x_5g,Realme Narzo 70x 5G,Realme,flipkart,https://www.flipkart.com/realme-narzo-70x-5g-ice-blue-128-gb/product-reviews/itm4ef66169ea11b?pid=MOBHYCWQUSWGF6FT,Thank you Flipkar phone is the best good look good feature,5.0,,Thank you Flipkar phone is the best good look good feature,,2026-05-09T22:43:27+00:00
flipkart_be311a7e3fa5a3fee7f2,realme_narzo_70x_5g,Realme Narzo 70x 5G,Realme,flipkart,https://www.flipkart.com/realme-narzo-70x-5g-ice-blue-128-gb/product-reviews/itm4ef66169ea11b?pid=MOBHYCWQUSWGF6FT,Helpful for 4,4,,Helpful for 4,,2026-05-09T22:43:27+00:00
